sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
KITPVS370,KITPVS370,"Kit de video vigilancia Marca PROVISION, (PAK4LIGHTCC2MP-28), 2 MP 1 dvr AHD de 4 canales + 4 c","Kit de video vigilancia Marca PROVISION, (PAK4LIGHTCC2MP-28), 2 MP 1 dvr AHD de 4 canales + 4 cámaras bala de plastico con lente de 2.8 (2MPX) Ext/Interior, cubre hasta 15 metros en vision nocturno, 4 cables siames de 20 metros, soporta 1 disco duro SATA de hasta 6TB (no incluido), 1 fuente de poder de 12v/3A,1 divisor de voltaje, P2P Aplicacion para MOVILES, notificacion vía mail, 2 años de garantía.",CT,d,69.23076923076923,1350.0,69.23,2025.0,2025.0,2700.0,1890.0,1620.0,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/KITPVS370.jpg,https://static.ctonline.mx/imagenes/KITPVS370/KITPVS370_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS3190,CAMPVS3190,"Cámara Bala AHD PROVISION ISR ISR I2-320AB-28 (2MP), Lente Fijo 2.8mm ( 90.3°), compatible con ","Cámara Bala AHD PROVISION ISR ISR I2-320AB-28 (2MP), Lente Fijo 2.8mm ( 90.3°), compatible con TVI /CVI /CVBS, cubre hasta 20 Metros Visión Nocturna, D-WDR, Polímero, 2 años de garantia",AHD,d,11.363636363636363,221.59,11.36,332.38,332.38,443.18,310.23,265.91,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3190.jpg,https://static.ctonline.mx/imagenes/CAMPVS3190/CAMPVS3190_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS2580,CAMPVS2580,"Cámara Domo AHD PROVISION ISR (DI-320A-28), (2 MP), Lente fijo 2.8 (88°) mm, compatible con CVI","Cámara Domo AHD PROVISION ISR (DI-320A-28), (2 MP), Lente fijo 2.8 (88°) mm, compatible con CVI/TVI, CVBS, cubre hasta 20 metros en vision nocturna, CoC, 3D-DNR, IP67, Exterior / Interior, Metalica de color Blanco, 2 años de garantía.",AHD,d,22.886363636363637,446.28,22.89,669.42,669.42,892.56,624.79,535.54,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS2580.jpg,https://static.ctonline.mx/imagenes/CAMPVS2580/CAMPVS2580_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS2590,CAMPVS2590,"Cámara Domo AHD PROVISION ISR (DI-320A-VF), (2 MP) Lente VF  2.8-12 (88°-33°) mm, compatible CV","Cámara Domo AHD PROVISION ISR (DI-320A-VF), (2 MP) Lente VF  2.8-12 (88°-33°) mm, compatible CVI/TVI, CVBS, cubre hasta 40 metros en vision nocturna, CoC, 3D-DNR, IP67, Exterior / Interior, Metalica de color Blanco, 2 años de garantía.",AHD,d,45.0,877.5,45.0,1316.25,1316.25,1755.0,1228.5,1053.0,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS2590.jpg,https://static.ctonline.mx/imagenes/CAMPVS2590/CAMPVS2590_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS3460,CAMPVS3460,"Cámara Domo PROVISION ISR DH-320IPBN-28 2MP, Turret/Domo , Lente 2,8mm (93°), IR 20M , Micrófon","Cámara Domo PROVISION ISR DH-320IPBN-28 2MP, Turret/Domo , Lente 2,8mm (93°), IR 20M , Micrófono incorporado, Analítico DDA,  Reconocimiento de personas y vehículos: área estéril, cruce de línea cruce de línea *Solo para humanos, Detecta 41 mts, Reconoce 8 mt, Reconoce 4 mts, PoE, D-WDR, HLC,BLC, ROI, IP67.",PROVISION,d,39.57954545454545,771.8,39.58,1157.7,1157.7,1543.6,1080.52,926.16,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3460.jpg,https://static.ctonline.mx/imagenes/CAMPVS3460/CAMPVS3460_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS3660,CAMPVS3660,"Cámara Domo DDA PROVISION ISR (DH-320IPSN-28) 2MP, Lente ICR 2.8mm (104°), de día detecta hasta","Cámara Domo DDA PROVISION ISR (DH-320IPSN-28) 2MP, Lente ICR 2.8mm (104°), de día detecta hasta 40 metros, reconoce hasta 8 metros, identifica hasta 4 metros y cubre hasta 20M de visión nocturna, Analíticos Human & Vehicle Recogition: Sterile Área, Line Crossing *Human only, Micrófono incorporado, Soporta MicroSD (Hasta 256 GB), PoE, D-WDR, HLC,BLC, ROI, IP67, 2 años de garantía.",DDA,d,58.59090909090909,1142.52,58.59,1713.78,1713.78,2285.04,1599.53,1371.02,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3660.jpg,https://static.ctonline.mx/imagenes/CAMPVS3660/CAMPVS3660_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS3600,CAMPVS3600,"Cámara Bala PROVISION ISR I4-33K0AP-MVF HD-3K Básica, Bala , IR 40M (1 LED Array), lente 2.8-12","Cámara Bala PROVISION ISR I4-33K0AP-MVF HD-3K Básica, Bala , IR 40M (1 LED Array), lente 2.8-12 mm (103°-38°) , WDR/HLC/BLC digital, 4 en 1 compatible con todas las tecnologías, Polímero.",PROVISION,d,62.34090909090909,1215.65,62.34,1823.48,1823.48,2431.3,1701.91,1458.78,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3600.jpg,https://static.ctonline.mx/imagenes/CAMPVS3600/CAMPVS3600_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS3710,CAMPVS3710,"Cámara Bala PROVISION ISR I2-33K0AP-28 HD-3K Básica, IR 20M (1 LED Array), Micrófono incorporad","Cámara Bala PROVISION ISR I2-33K0AP-28 HD-3K Básica, IR 20M (1 LED Array), Micrófono incorporado, lente 2.8mm, D-WDR, BLC, HLC , 4 en 1 compatible con todas las tecnologías, IP67.",PROVISION,d,38.93181818181818,759.17,38.93,1138.75,1138.75,1518.34,1062.84,911.0,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3710.jpg,https://static.ctonline.mx/imagenes/CAMPVS3710/CAMPVS3710_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS3680,CAMPVS3680,"Cámara Bala IP DDA PROVISION ISR (BSH-340IPBN-28) 4 MP, Lente fijo 2.8 mm (93°) , cubre hasta 2","Cámara Bala IP DDA PROVISION ISR (BSH-340IPBN-28) 4 MP, Lente fijo 2.8 mm (93°) , cubre hasta 20 metros en visión nocturno, Reconocimiento de personas y vehículos: área estéril, cruce de línea, Micrófono incorporado POE , WWDR, BLC, HLC, ROI, IP67, Detecta 57 mts, Reconoce 11 mts, Identifica 6 mts ,Exterior / Interior, color Blanco, 2 años de garantía.",DDA,d,57.95454545454545,1130.11,57.95,1695.16,1695.16,2260.22,1582.15,1356.13,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3680.jpg,https://static.ctonline.mx/imagenes/CAMPVS3680/CAMPVS3680_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CAMPVS2670,CAMPVS2670,"Cámara Bala AHD PROVISION ISR (I2-320A-28) (2MP), Lente fijo de 2.8 (88°) mm, compatible CVI / ","Cámara Bala AHD PROVISION ISR (I2-320A-28) (2MP), Lente fijo de 2.8 (88°) mm, compatible CVI / TVI / CVBS, cubre hasta 20 metros en vision nocturna, 3D-DNR, CoC, IP67, Exterior / Interior, Metalica de color Blanco, 2 años de garantía.",AHD,d,14.772727272727273,288.07,14.77,432.11,432.11,576.14,403.3,345.68,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS2670.jpg,https://static.ctonline.mx/imagenes/CAMPVS2670/CAMPVS2670_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
